model,serial,seed,epoch,complete_run,true_label,predicted_label,count
resnet_baseline,1,42,46,True,CNV,CNV,241
resnet_baseline,1,42,46,True,CNV,DME,1
resnet_baseline,1,42,46,True,CNV,DRUSEN,0
resnet_baseline,1,42,46,True,CNV,NORMAL,0
resnet_baseline,1,42,46,True,DME,CNV,0
resnet_baseline,1,42,46,True,DME,DME,242
resnet_baseline,1,42,46,True,DME,DRUSEN,0
resnet_baseline,1,42,46,True,DME,NORMAL,0
resnet_baseline,1,42,46,True,DRUSEN,CNV,7
resnet_baseline,1,42,46,True,DRUSEN,DME,0
resnet_baseline,1,42,46,True,DRUSEN,DRUSEN,235
resnet_baseline,1,42,46,True,DRUSEN,NORMAL,0
resnet_baseline,1,42,46,True,NORMAL,CNV,0
resnet_baseline,1,42,46,True,NORMAL,DME,0
resnet_baseline,1,42,46,True,NORMAL,DRUSEN,1
resnet_baseline,1,42,46,True,NORMAL,NORMAL,241
se_resnet,2,42,47,True,CNV,CNV,242
se_resnet,2,42,47,True,CNV,DME,0
se_resnet,2,42,47,True,CNV,DRUSEN,0
se_resnet,2,42,47,True,CNV,NORMAL,0
se_resnet,2,42,47,True,DME,CNV,1
se_resnet,2,42,47,True,DME,DME,241
se_resnet,2,42,47,True,DME,DRUSEN,0
se_resnet,2,42,47,True,DME,NORMAL,0
se_resnet,2,42,47,True,DRUSEN,CNV,15
se_resnet,2,42,47,True,DRUSEN,DME,0
se_resnet,2,42,47,True,DRUSEN,DRUSEN,227
se_resnet,2,42,47,True,DRUSEN,NORMAL,0
se_resnet,2,42,47,True,NORMAL,CNV,0
se_resnet,2,42,47,True,NORMAL,DME,0
se_resnet,2,42,47,True,NORMAL,DRUSEN,1
se_resnet,2,42,47,True,NORMAL,NORMAL,241
resnet_baseline,3,84,50,True,CNV,CNV,242
resnet_baseline,3,84,50,True,CNV,DME,0
resnet_baseline,3,84,50,True,CNV,DRUSEN,0
resnet_baseline,3,84,50,True,CNV,NORMAL,0
resnet_baseline,3,84,50,True,DME,CNV,1
resnet_baseline,3,84,50,True,DME,DME,241
resnet_baseline,3,84,50,True,DME,DRUSEN,0
resnet_baseline,3,84,50,True,DME,NORMAL,0
resnet_baseline,3,84,50,True,DRUSEN,CNV,9
resnet_baseline,3,84,50,True,DRUSEN,DME,0
resnet_baseline,3,84,50,True,DRUSEN,DRUSEN,233
resnet_baseline,3,84,50,True,DRUSEN,NORMAL,0
resnet_baseline,3,84,50,True,NORMAL,CNV,0
resnet_baseline,3,84,50,True,NORMAL,DME,0
resnet_baseline,3,84,50,True,NORMAL,DRUSEN,1
resnet_baseline,3,84,50,True,NORMAL,NORMAL,241
se_resnet,4,42,47,True,CNV,CNV,242
se_resnet,4,42,47,True,CNV,DME,0
se_resnet,4,42,47,True,CNV,DRUSEN,0
se_resnet,4,42,47,True,CNV,NORMAL,0
se_resnet,4,42,47,True,DME,CNV,1
se_resnet,4,42,47,True,DME,DME,241
se_resnet,4,42,47,True,DME,DRUSEN,0
se_resnet,4,42,47,True,DME,NORMAL,0
se_resnet,4,42,47,True,DRUSEN,CNV,15
se_resnet,4,42,47,True,DRUSEN,DME,0
se_resnet,4,42,47,True,DRUSEN,DRUSEN,227
se_resnet,4,42,47,True,DRUSEN,NORMAL,0
