model,serial,seed,epoch,checkpoint_mode,checkpoint_filename,complete_run,test_images,accuracy_pct,macro_precision_pct,macro_recall_pct,macro_f1_pct,predicted_NORMAL,safe_NORMAL,false_NORMAL,NORMAL_false_negative_rate_pct
resnet_baseline,1,42,46,best,01_resnet_baseline_seed42_epoch46_best_20260114_001728.pth,True,968,99.07024793388429,99.08554197688363,99.0702479338843,99.07012046673177,241,241,0,0.0
se_resnet,2,42,47,best,02_se_resnet_seed42_epoch47_best_20260114_020922.pth,True,968,98.24380165289256,98.33996328029374,98.24380165289257,98.24541650147569,241,241,0,0.0
resnet_baseline,3,84,50,best,03_resnet_baseline_seed84_epoch50_best_20260114_101157.pth,True,968,98.86363636363636,98.9010989010989,98.86363636363637,98.86519737273541,241,241,0,0.0
se_resnet,4,42,47,best,04_se_resnet_seed42_epoch47_best_20260114_115805.pth,True,968,98.24380165289256,98.33996328029374,98.24380165289257,98.24541650147569,241,241,0,0.0
se_resnet,5,84,42,best,05_se_resnet_seed84_epoch42_best_20260114_134347.pth,True,968,98.4504132231405,98.5245873917749,98.4504132231405,98.45459088673718,241,241,0,0.0
se_resnet,6,126,48,best,06_se_resnet_seed126_epoch48_best_20260115_002818.pth,True,968,98.34710743801654,98.41549143233303,98.34710743801654,98.35132990546767,241,241,0,0.0
cbam_resnet,7,42,49,best,07_cbam_resnet_seed42_epoch49_best_20260115_023521.pth,True,968,97.93388429752066,98.01947783831082,97.93388429752066,97.9353968055279,239,239,0,0.0
cbam_resnet,8,84,33,best,08_cbam_resnet_seed84_epoch33_best_20260115_035436.pth,True,968,98.55371900826447,98.61819405873938,98.55371900826447,98.55944410003778,241,241,0,0.0
cbam_resnet,9,126,45,best,09_cbam_resnet_seed126_epoch45_best_20260115_124715.pth,True,968,98.7603305785124,98.79384067178346,98.7603305785124,98.76191496584508,241,241,0,0.0
resnet_baseline,10,126,39,best,10_resnet_baseline_seed126_epoch39_best_20260116_002119.pth,True,968,99.07024793388429,99.07984063758464,99.0702479338843,99.07017897398056,241,241,0,0.0
se_resnet,11,3407,42,best,11_se_resnet_seed3407_epoch42_best_20260116_025024.pth,True,968,98.03719008264463,98.18007662835248,98.03719008264463,98.04186732431342,242,242,0,0.0
vit_b16,12,42,48,best,12_vit_b16_seed42_epoch48_best_20260116_045753.pth,True,968,98.96694214876032,99.0079365079365,98.96694214876034,98.96848308061122,242,242,0,0.0
vit_b16,13,84,4,best,13_vit_b16_seed84_epoch4_best_20260116_093342.pth,False,968,97.41735537190083,97.50561951325199,97.41735537190084,97.41747355295757,247,240,7,0.9641873278236914
vit_b16,14,84,48,best,14_vit_b16_seed84_epoch48_best_20260116_112432.pth,True,968,98.34710743801654,98.4322755915638,98.34710743801654,98.3456671960742,242,242,0,0.0
vit_b16,15,126,50,best,15_vit_b16_seed126_epoch50_best_20260116_170850.pth,True,968,98.55371900826447,98.6328125,98.55371900826447,98.55786109484708,242,242,0,0.0
vit_b16,16,3407,39,best,16_vit_b16_seed3407_epoch39_best_20260116_205856.pth,True,968,98.24380165289256,98.35907335907336,98.24380165289256,98.24163236695773,242,242,0,0.0
resnet_baseline,17,3407,42,best,17_resnet_baseline_seed3407_epoch42_best_20260116_234021.pth,True,968,98.7603305785124,98.78482980809638,98.7603305785124,98.76181714143995,240,240,0,0.0
cbam_resnet,18,3407,40,best,18_cbam_resnet_seed3407_epoch40_best_20260117_020155.pth,True,968,97.8305785123967,98.00380228136882,97.8305785123967,97.84473485087388,242,242,0,0.0
