persistence_rank,image_id,image_path,true_label,error_decisions,architectures_failing,dominant_wrong_label,errors_cbam_resnet,errors_resnet_baseline,errors_se_resnet,errors_vit_b16,error_rate_pct_cbam_resnet,error_rate_pct_resnet_baseline,error_rate_pct_se_resnet,error_rate_pct_vit_b16
1,DRUSEN/DRUSEN-349021-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-349021-2.jpeg,DRUSEN,16,4,CNV,4,4,4,4,100.0,100.0,100.0,100.0
2,DRUSEN/DRUSEN-8870525-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8870525-2.jpeg,DRUSEN,16,4,CNV,4,4,4,4,100.0,100.0,100.0,100.0
3,DRUSEN/DRUSEN-8870525-3.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8870525-3.jpeg,DRUSEN,14,4,CNV,4,4,4,2,100.0,100.0,100.0,50.0
4,DRUSEN/DRUSEN-1173253-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-1173253-1.jpeg,DRUSEN,11,4,CNV,3,2,4,2,75.0,50.0,100.0,50.0
5,NORMAL/NORMAL-2182640-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\NORMAL\NORMAL-2182640-1.jpeg,NORMAL,10,3,DRUSEN,3,4,3,0,75.0,100.0,75.0,0.0
6,DME/DME-3288089-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-3288089-1.jpeg,DME,9,4,CNV,3,2,3,1,75.0,50.0,75.0,25.0
7,DRUSEN/DRUSEN-4343867-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-4343867-1.jpeg,DRUSEN,9,3,CNV,3,2,4,0,75.0,50.0,100.0,0.0
8,DRUSEN/DRUSEN-5477211-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-5477211-1.jpeg,DRUSEN,8,4,CNV,3,2,1,2,75.0,50.0,25.0,50.0
9,DRUSEN/DRUSEN-9059831-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-9059831-2.jpeg,DRUSEN,8,3,CNV,2,2,4,0,50.0,50.0,100.0,0.0
10,DRUSEN/DRUSEN-9734808-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-9734808-2.jpeg,DRUSEN,8,3,CNV,3,0,3,2,75.0,0.0,75.0,50.0
11,DRUSEN/DRUSEN-8440718-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8440718-1.jpeg,DRUSEN,6,4,CNV,1,2,1,2,25.0,50.0,25.0,50.0
12,DRUSEN/DRUSEN-7513011-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-7513011-1.jpeg,DRUSEN,6,3,CNV,3,0,1,2,75.0,0.0,25.0,50.0
13,DRUSEN/DRUSEN-8549730-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8549730-1.jpeg,DRUSEN,6,3,CNV,2,1,3,0,50.0,25.0,75.0,0.0
14,DRUSEN/DRUSEN-8039905-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8039905-1.jpeg,DRUSEN,5,3,CNV,0,1,1,3,0.0,25.0,25.0,75.0
