selection_role,selection_reason,image_id,image_path,true_label,persistence_rank,error_decisions,error_rate_pct,architectures_failing,dominant_wrong_label,max_incorrect_confidence,correct_decisions,correct_rate_pct,mean_true_class_probability
hard_error,At least one error in an independent completed evaluation,CNV/CNV-4283050-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\CNV\CNV-4283050-1.jpeg,CNV,18.0,4,25.0,2.0,DME,0.92487407,,,
hard_error,At least one error in an independent completed evaluation,CNV/CNV-1305450-3.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\CNV\CNV-1305450-3.jpeg,CNV,33.0,2,12.5,2.0,DME,0.8894491,,,
hard_error,At least one error in an independent completed evaluation,CNV/CNV-1894770-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\CNV\CNV-1894770-2.jpeg,CNV,45.0,1,6.25,1.0,DME,0.82143646,,,
hard_error,At least one error in an independent completed evaluation,CNV/CNV-417468-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\CNV\CNV-417468-1.jpeg,CNV,48.0,1,6.25,1.0,DME,0.7616463,,,
hard_error,At least one error in an independent completed evaluation,DME/DME-3288089-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-3288089-1.jpeg,DME,6.0,9,56.25,4.0,CNV,0.83797246,,,
hard_error,At least one error in an independent completed evaluation,DME/DME-8000885-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-8000885-1.jpeg,DME,22.0,3,18.75,2.0,CNV,0.920313,,,
hard_error,At least one error in an independent completed evaluation,DME/DME-5802218-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-5802218-1.jpeg,DME,23.0,3,18.75,2.0,CNV,0.9069227,,,
hard_error,At least one error in an independent completed evaluation,DME/DME-1430899-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-1430899-1.jpeg,DME,28.0,3,18.75,1.0,CNV,0.80397564,,,
hard_error,At least one error in an independent completed evaluation,DME/DME-9333524-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-9333524-1.jpeg,DME,41.0,1,6.25,1.0,CNV,0.8748776,,,
hard_error,At least one error in an independent completed evaluation,DME/DME-7837305-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-7837305-2.jpeg,DME,49.0,1,6.25,1.0,CNV,0.742671,,,
hard_error,At least one error in an independent completed evaluation,DME/DME-9579219-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-9579219-1.jpeg,DME,63.0,1,6.25,1.0,CNV,0.5691851,,,
hard_error,At least one error in an independent completed evaluation,DME/DME-3064922-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-3064922-1.jpeg,DME,66.0,1,6.25,1.0,CNV,0.5086999,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-349021-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-349021-2.jpeg,DRUSEN,1.0,16,100.0,4.0,CNV,0.9982836,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-8870525-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8870525-2.jpeg,DRUSEN,2.0,16,100.0,4.0,CNV,0.99744296,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-8870525-3.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8870525-3.jpeg,DRUSEN,3.0,14,87.5,4.0,CNV,0.9967686,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-1173253-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-1173253-1.jpeg,DRUSEN,4.0,11,68.75,4.0,CNV,0.96815854,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-4343867-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-4343867-1.jpeg,DRUSEN,7.0,9,56.25,3.0,CNV,0.97085685,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-5477211-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-5477211-1.jpeg,DRUSEN,8.0,8,50.0,4.0,CNV,0.95116115,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-9059831-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-9059831-2.jpeg,DRUSEN,9.0,8,50.0,3.0,CNV,0.96513456,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-9734808-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-9734808-2.jpeg,DRUSEN,10.0,8,50.0,3.0,CNV,0.93001324,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-8440718-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8440718-1.jpeg,DRUSEN,11.0,6,37.5,4.0,CNV,0.85178363,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-7513011-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-7513011-1.jpeg,DRUSEN,12.0,6,37.5,3.0,CNV,0.9346903,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-8549730-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8549730-1.jpeg,DRUSEN,13.0,6,37.5,3.0,CNV,0.836368,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-8039905-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8039905-1.jpeg,DRUSEN,14.0,5,31.25,3.0,CNV,0.8918773,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-349021-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-349021-1.jpeg,DRUSEN,15.0,5,31.25,3.0,CNV,0.77737087,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-7710023-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-7710023-1.jpeg,DRUSEN,16.0,4,25.0,3.0,CNV,0.7308969,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-2403178-3.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2403178-3.jpeg,DRUSEN,17.0,4,25.0,3.0,CNV,0.70822793,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-4314625-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-4314625-1.jpeg,DRUSEN,19.0,4,25.0,2.0,CNV,0.6936312,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-7345121-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-7345121-1.jpeg,DRUSEN,20.0,3,18.75,3.0,CNV,0.8881741,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-2510299-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2510299-1.jpeg,DRUSEN,21.0,3,18.75,2.0,CNV,0.92678183,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-3214955-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-3214955-1.jpeg,DRUSEN,24.0,3,18.75,2.0,CNV,0.8588091,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-1246453-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-1246453-1.jpeg,DRUSEN,25.0,3,18.75,2.0,CNV,0.8477603,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-8854406-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8854406-1.jpeg,DRUSEN,26.0,3,18.75,2.0,CNV,0.752756,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-4293095-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-4293095-1.jpeg,DRUSEN,27.0,3,18.75,2.0,CNV,0.62785023,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-7710023-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-7710023-2.jpeg,DRUSEN,29.0,2,12.5,2.0,CNV,0.9493933,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-2108193-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2108193-1.jpeg,DRUSEN,30.0,2,12.5,2.0,CNV,0.94258547,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-7915033-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-7915033-1.jpeg,DRUSEN,31.0,2,12.5,2.0,CNV,0.9420832,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-3439251-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-3439251-1.jpeg,DRUSEN,32.0,2,12.5,2.0,CNV,0.9389809,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-2128644-3.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2128644-3.jpeg,DRUSEN,34.0,2,12.5,2.0,CNV,0.8443465,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-8870525-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8870525-1.jpeg,DRUSEN,35.0,2,12.5,2.0,CNV,0.70334345,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-4304015-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-4304015-1.jpeg,DRUSEN,36.0,2,12.5,2.0,CNV,0.7023187,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-2403178-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2403178-2.jpeg,DRUSEN,37.0,2,12.5,1.0,CNV,0.9822495,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-4878077-5.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-4878077-5.jpeg,DRUSEN,38.0,2,12.5,1.0,CNV,0.761646,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-3017923-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-3017923-1.jpeg,DRUSEN,39.0,2,12.5,1.0,CNV,0.52625203,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-6193297-5.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-6193297-5.jpeg,DRUSEN,40.0,1,6.25,1.0,CNV,0.94300973,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-2403178-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2403178-1.jpeg,DRUSEN,42.0,1,6.25,1.0,CNV,0.8623934,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-2108193-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2108193-2.jpeg,DRUSEN,43.0,1,6.25,1.0,CNV,0.8571927,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-9059831-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-9059831-1.jpeg,DRUSEN,44.0,1,6.25,1.0,CNV,0.84283817,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-8656509-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8656509-1.jpeg,DRUSEN,46.0,1,6.25,1.0,CNV,0.8144931,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-8605472-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8605472-1.jpeg,DRUSEN,47.0,1,6.25,1.0,CNV,0.8085906,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-8708331-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8708331-1.jpeg,DRUSEN,50.0,1,6.25,1.0,CNV,0.7336413,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-3439251-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-3439251-2.jpeg,DRUSEN,51.0,1,6.25,1.0,CNV,0.7326971,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-8251771-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8251771-1.jpeg,DRUSEN,52.0,1,6.25,1.0,CNV,0.6716551,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-8440718-4.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8440718-4.jpeg,DRUSEN,53.0,1,6.25,1.0,CNV,0.6428247,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-5710007-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-5710007-1.jpeg,DRUSEN,54.0,1,6.25,1.0,CNV,0.6372996,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-2257047-4.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2257047-4.jpeg,DRUSEN,55.0,1,6.25,1.0,CNV,0.6263219,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-4291972-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-4291972-1.jpeg,DRUSEN,56.0,1,6.25,1.0,CNV,0.6243157,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-2257047-8.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2257047-8.jpeg,DRUSEN,59.0,1,6.25,1.0,CNV,0.6069757,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-2489093-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2489093-1.jpeg,DRUSEN,60.0,1,6.25,1.0,CNV,0.5988437,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-6264369-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-6264369-1.jpeg,DRUSEN,61.0,1,6.25,1.0,CNV,0.583707,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-2185112-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2185112-2.jpeg,DRUSEN,62.0,1,6.25,1.0,CNV,0.5743209,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-2510299-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2510299-2.jpeg,DRUSEN,64.0,1,6.25,1.0,CNV,0.5572942,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-584218-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-584218-1.jpeg,DRUSEN,65.0,1,6.25,1.0,CNV,0.5119968,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-3424668-3.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-3424668-3.jpeg,DRUSEN,67.0,1,6.25,1.0,CNV,0.5081683,,,
hard_error,At least one error in an independent completed evaluation,DRUSEN/DRUSEN-4973287-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-4973287-1.jpeg,DRUSEN,68.0,1,6.25,1.0,CNV,0.50258064,,,
hard_error,At least one error in an independent completed evaluation,NORMAL/NORMAL-2182640-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\NORMAL\NORMAL-2182640-1.jpeg,NORMAL,5.0,10,62.5,3.0,DRUSEN,0.8237374,,,
hard_error,At least one error in an independent completed evaluation,NORMAL/NORMAL-1907560-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\NORMAL\NORMAL-1907560-1.jpeg,NORMAL,57.0,1,6.25,1.0,DRUSEN,0.6185359,,,
hard_error,At least one error in an independent completed evaluation,NORMAL/NORMAL-697826-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\NORMAL\NORMAL-697826-1.jpeg,NORMAL,58.0,1,6.25,1.0,DRUSEN,0.60812765,,,
hard_error,At least one error in an independent completed evaluation,NORMAL/NORMAL-446851-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\NORMAL\NORMAL-446851-2.jpeg,NORMAL,69.0,1,6.25,1.0,DME,0.3555165,,,
matched_correct_control,Correct in all 16 independent runs; matched to CNV,CNV/CNV-1699976-4.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\CNV\CNV-1699976-4.jpeg,CNV,,0,,,,,16.0,100.0,0.999987319111824
matched_correct_control,Correct in all 16 independent runs; matched to CNV,CNV/CNV-172472-10.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\CNV\CNV-172472-10.jpeg,CNV,,0,,,,,16.0,100.0,0.9999893605709076
matched_correct_control,Correct in all 16 independent runs; matched to CNV,CNV/CNV-2158821-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\CNV\CNV-2158821-1.jpeg,CNV,,0,,,,,16.0,100.0,0.999988280236721
