persistence_rank,image_id,image_path,true_label,error_decisions,architectures_failing,failing_architectures,dominant_wrong_label,wrong_label_counts,mean_incorrect_confidence,max_incorrect_confidence,min_incorrect_confidence,errors_confidence_ge_90,errors_confidence_ge_95,errors_confidence_ge_99,failing_run_keys,total_independent_runs,total_architectures,error_rate_pct,all_architectures_failed,persistent_ge_half_runs
1,DRUSEN/DRUSEN-349021-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-349021-2.jpeg,DRUSEN,16,4,cbam_resnet|resnet_baseline|se_resnet|vit_b16,CNV,CNV:16,0.9417699,0.9982836,0.6861148,13,9,5,cbam_resnet_S18_seed3407|cbam_resnet_S7_seed42|cbam_resnet_S8_seed84|cbam_resnet_S9_seed126|resnet_baseline_S10_seed126|resnet_baseline_S17_seed3407|resnet_baseline_S1_seed42|resnet_baseline_S3_seed84|se_resnet_S11_seed3407|se_resnet_S2_seed42|se_resnet_S5_seed84|se_resnet_S6_seed126|vit_b16_S12_seed42|vit_b16_S14_seed84|vit_b16_S15_seed126|vit_b16_S16_seed3407,16,4,100.0,True,True
2,DRUSEN/DRUSEN-8870525-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8870525-2.jpeg,DRUSEN,16,4,cbam_resnet|resnet_baseline|se_resnet|vit_b16,CNV,CNV:16,0.90515375,0.99744296,0.6027254,12,10,2,cbam_resnet_S18_seed3407|cbam_resnet_S7_seed42|cbam_resnet_S8_seed84|cbam_resnet_S9_seed126|resnet_baseline_S10_seed126|resnet_baseline_S17_seed3407|resnet_baseline_S1_seed42|resnet_baseline_S3_seed84|se_resnet_S11_seed3407|se_resnet_S2_seed42|se_resnet_S5_seed84|se_resnet_S6_seed126|vit_b16_S12_seed42|vit_b16_S14_seed84|vit_b16_S15_seed126|vit_b16_S16_seed3407,16,4,100.0,True,True
3,DRUSEN/DRUSEN-8870525-3.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8870525-3.jpeg,DRUSEN,14,4,cbam_resnet|resnet_baseline|se_resnet|vit_b16,CNV,CNV:14,0.9273525,0.9967686,0.60076815,11,9,4,cbam_resnet_S18_seed3407|cbam_resnet_S7_seed42|cbam_resnet_S8_seed84|cbam_resnet_S9_seed126|resnet_baseline_S10_seed126|resnet_baseline_S17_seed3407|resnet_baseline_S1_seed42|resnet_baseline_S3_seed84|se_resnet_S11_seed3407|se_resnet_S2_seed42|se_resnet_S5_seed84|se_resnet_S6_seed126|vit_b16_S12_seed42|vit_b16_S15_seed126,16,4,87.5,True,True
4,DRUSEN/DRUSEN-1173253-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-1173253-1.jpeg,DRUSEN,11,4,cbam_resnet|resnet_baseline|se_resnet|vit_b16,CNV,CNV:11,0.781208,0.96815854,0.5098149,4,2,0,cbam_resnet_S18_seed3407|cbam_resnet_S8_seed84|cbam_resnet_S9_seed126|resnet_baseline_S10_seed126|resnet_baseline_S17_seed3407|se_resnet_S11_seed3407|se_resnet_S2_seed42|se_resnet_S5_seed84|se_resnet_S6_seed126|vit_b16_S15_seed126|vit_b16_S16_seed3407,16,4,68.75,True,True
5,NORMAL/NORMAL-2182640-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\NORMAL\NORMAL-2182640-1.jpeg,NORMAL,10,3,cbam_resnet|resnet_baseline|se_resnet,DRUSEN,DRUSEN:10,0.65304303,0.8237374,0.5224158,0,0,0,cbam_resnet_S7_seed42|cbam_resnet_S8_seed84|cbam_resnet_S9_seed126|resnet_baseline_S10_seed126|resnet_baseline_S17_seed3407|resnet_baseline_S1_seed42|resnet_baseline_S3_seed84|se_resnet_S2_seed42|se_resnet_S5_seed84|se_resnet_S6_seed126,16,4,62.5,False,True
6,DME/DME-3288089-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-3288089-1.jpeg,DME,9,4,cbam_resnet|resnet_baseline|se_resnet|vit_b16,CNV,CNV:9,0.75076693,0.83797246,0.6766101,0,0,0,cbam_resnet_S18_seed3407|cbam_resnet_S8_seed84|cbam_resnet_S9_seed126|resnet_baseline_S17_seed3407|resnet_baseline_S3_seed84|se_resnet_S11_seed3407|se_resnet_S2_seed42|se_resnet_S6_seed126|vit_b16_S15_seed126,16,4,56.25,True,True
7,DRUSEN/DRUSEN-4343867-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-4343867-1.jpeg,DRUSEN,9,3,cbam_resnet|resnet_baseline|se_resnet,CNV,CNV:9,0.8348222,0.97085685,0.5714767,4,3,0,cbam_resnet_S18_seed3407|cbam_resnet_S7_seed42|cbam_resnet_S8_seed84|resnet_baseline_S1_seed42|resnet_baseline_S3_seed84|se_resnet_S11_seed3407|se_resnet_S2_seed42|se_resnet_S5_seed84|se_resnet_S6_seed126,16,4,56.25,False,True
8,DRUSEN/DRUSEN-5477211-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-5477211-1.jpeg,DRUSEN,8,4,cbam_resnet|resnet_baseline|se_resnet|vit_b16,CNV,CNV:8,0.7533066,0.95116115,0.5526366,1,1,0,cbam_resnet_S7_seed42|cbam_resnet_S8_seed84|cbam_resnet_S9_seed126|resnet_baseline_S17_seed3407|resnet_baseline_S3_seed84|se_resnet_S11_seed3407|vit_b16_S14_seed84|vit_b16_S16_seed3407,16,4,50.0,True,True
9,DRUSEN/DRUSEN-9059831-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-9059831-2.jpeg,DRUSEN,8,3,cbam_resnet|resnet_baseline|se_resnet,CNV,CNV:8,0.8327575,0.96513456,0.55378854,5,3,0,cbam_resnet_S18_seed3407|cbam_resnet_S9_seed126|resnet_baseline_S10_seed126|resnet_baseline_S17_seed3407|se_resnet_S11_seed3407|se_resnet_S2_seed42|se_resnet_S5_seed84|se_resnet_S6_seed126,16,4,50.0,False,True
10,DRUSEN/DRUSEN-9734808-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-9734808-2.jpeg,DRUSEN,8,3,cbam_resnet|se_resnet|vit_b16,CNV,CNV:8,0.7813267,0.93001324,0.5388981,1,0,0,cbam_resnet_S18_seed3407|cbam_resnet_S7_seed42|cbam_resnet_S9_seed126|se_resnet_S11_seed3407|se_resnet_S2_seed42|se_resnet_S5_seed84|vit_b16_S14_seed84|vit_b16_S15_seed126,16,4,50.0,False,True
11,DRUSEN/DRUSEN-8440718-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8440718-1.jpeg,DRUSEN,6,4,cbam_resnet|resnet_baseline|se_resnet|vit_b16,CNV,CNV:6,0.70829433,0.85178363,0.50602657,0,0,0,cbam_resnet_S8_seed84|resnet_baseline_S10_seed126|resnet_baseline_S3_seed84|se_resnet_S6_seed126|vit_b16_S14_seed84|vit_b16_S15_seed126,16,4,37.5,True,False
